epoch,step,train_acc,train_auc,train_f1,train_loss,train_recall,train_spec,valid_acc,valid_auc,valid_f1,valid_loss,valid_recall,valid_spec
15,127,0.6639806628227234,0.7093087434768677,0.6045641303062439,0.729494035243988,0.5987296104431152,0.7128410339355469,,,,,,
16,135,,,,,,,0.6530612111091614,0.6800012588500977,0.6036068201065063,0.7383279800415039,0.617494523525238,0.6798473596572876
16,135,0.6666666865348816,0.7106274366378784,0.607825756072998,0.7274631857872009,0.6029551029205322,0.7140708565711975,,,,,,
17,143,,,,,,,0.6530612111091614,0.6805329918861389,0.6064406037330627,0.7371224761009216,0.6249942779541016,0.674197793006897
17,143,0.6655922532081604,0.7114715576171875,0.6085034012794495,0.7253556847572327,0.6070337891578674,0.709479808807373,,,,,,
18,151,,,,,,,0.6541353464126587,0.6808696389198303,0.6071822643280029,0.7360497713088989,0.6249942779541016,0.6760811805725098
18,151,0.6631748676300049,0.7117994427680969,0.6061364412307739,0.723484218120575,0.6044085025787354,0.7071282863616943,,,,,,
19,159,,,,,,,0.6573576927185059,0.6814213991165161,0.6130303740501404,0.7350640296936035,0.6349939107894897,0.674197793006897
19,159,0.6650550365447998,0.7123720645904541,0.6099579930305481,0.7219492793083191,0.6106505393981934,0.7061496376991272,,,,,,
20,167,,,,,,,0.6573576927185059,0.6817162036895752,0.6130303740501404,0.7341814041137695,0.6349939107894897,0.674197793006897
20,167,0.6607574820518494,0.7114689350128174,0.6048848628997803,0.7206050753593445,0.6055473685264587,0.7025124430656433,,,,,,
21,175,,,,,,,0.6584317684173584,0.6822307705879211,0.6148251295089722,0.733426034450531,0.6374942064285278,0.674197793006897
21,175,0.6650550365447998,0.7125877141952515,0.610969603061676,0.7190738916397095,0.6144347786903381,0.7037115693092346,,,,,,
22,183,,,,,,,0.6595059037208557,0.6824552416801453,0.6166099309921265,0.732737123966217,0.6399944424629211,0.674197793006897
22,183,0.666129469871521,0.7122242450714111,0.6120659112930298,0.7175118327140808,0.6142975687980652,0.7045301198959351,,,,,,
23,191,,,,,,,0.660580039024353,0.6827443838119507,0.6183846592903137,0.7321352362632751,0.6424947381019592,0.674197793006897
23,191,0.6629062294960022,0.7126786708831787,0.6094240546226501,0.7164809703826904,0.6134322285652161,0.6992342472076416,,,,,,
24,199,,,,,,,0.660580039024353,0.6829517483711243,0.6192204356193542,0.7316828966140747,0.6449944972991943,0.672314465045929
